code;city
3341;Bendigo, Goldfields & Macedon Ranges VIC
3342;Bendigo, Goldfields & Macedon Ranges VIC
3345;Bendigo, Goldfields & Macedon Ranges VIC
3363;Bendigo, Goldfields & Macedon Ranges VIC
3364;Bendigo, Goldfields & Macedon Ranges VIC
3370;Bendigo, Goldfields & Macedon Ranges VIC
3371;Bendigo, Goldfields & Macedon Ranges VIC
3430;Bendigo, Goldfields & Macedon Ranges VIC
3431;Bendigo, Goldfields & Macedon Ranges VIC
3432;Bendigo, Goldfields & Macedon Ranges VIC
3433;Bendigo, Goldfields & Macedon Ranges VIC
3434;Bendigo, Goldfields & Macedon Ranges VIC
3435;Bendigo, Goldfields & Macedon Ranges VIC
3437;Bendigo, Goldfields & Macedon Ranges VIC
3438;Bendigo, Goldfields & Macedon Ranges VIC
3440;Bendigo, Goldfields & Macedon Ranges VIC
3441;Bendigo, Goldfields & Macedon Ranges VIC
3442;Bendigo, Goldfields & Macedon Ranges VIC
3444;Bendigo, Goldfields & Macedon Ranges VIC
3446;Bendigo, Goldfields & Macedon Ranges VIC
3447;Bendigo, Goldfields & Macedon Ranges VIC
3448;Bendigo, Goldfields & Macedon Ranges VIC
3450;Bendigo, Goldfields & Macedon Ranges VIC
3451;Bendigo, Goldfields & Macedon Ranges VIC
3453;Bendigo, Goldfields & Macedon Ranges VIC
3458;Bendigo, Goldfields & Macedon Ranges VIC
3460;Bendigo, Goldfields & Macedon Ranges VIC
3461;Bendigo, Goldfields & Macedon Ranges VIC
3462;Bendigo, Goldfields & Macedon Ranges VIC
3463;Bendigo, Goldfields & Macedon Ranges VIC
3464;Bendigo, Goldfields & Macedon Ranges VIC
3465;Bendigo, Goldfields & Macedon Ranges VIC
3472;Bendigo, Goldfields & Macedon Ranges VIC
3475;Bendigo, Goldfields & Macedon Ranges VIC
3515;Bendigo, Goldfields & Macedon Ranges VIC
3516;Bendigo, Goldfields & Macedon Ranges VIC
3517;Bendigo, Goldfields & Macedon Ranges VIC
3518;Bendigo, Goldfields & Macedon Ranges VIC
3520;Bendigo, Goldfields & Macedon Ranges VIC
3521;Bendigo, Goldfields & Macedon Ranges VIC
3522;Bendigo, Goldfields & Macedon Ranges VIC
3523;Bendigo, Goldfields & Macedon Ranges VIC
3537;Bendigo, Goldfields & Macedon Ranges VIC
3550;Bendigo, Goldfields & Macedon Ranges VIC
3551;Bendigo, Goldfields & Macedon Ranges VIC
3555;Bendigo, Goldfields & Macedon Ranges VIC
3556;Bendigo, Goldfields & Macedon Ranges VIC
3557;Bendigo, Goldfields & Macedon Ranges VIC
3559;Bendigo, Goldfields & Macedon Ranges VIC
3567;Bendigo, Goldfields & Macedon Ranges VIC
3570;Bendigo, Goldfields & Macedon Ranges VIC
3571;Bendigo, Goldfields & Macedon Ranges VIC
3573;Bendigo, Goldfields & Macedon Ranges VIC
3575;Bendigo, Goldfields & Macedon Ranges VIC
3576;Bendigo, Goldfields & Macedon Ranges VIC
3658;Bendigo, Goldfields & Macedon Ranges VIC
3659;Bendigo, Goldfields & Macedon Ranges VIC
